sid,uid,episode,json字数,pdf字数,比率,連問,json先頭80字
circ,circ_ch03_q149,109E-66,311,882,35%,Y,連問 1/358 歳の男性。前胸部圧迫感を主訴に来院した。現病歴：午前11 時ころ、庭仕事中に頸部に放散する前胸部圧迫感を初めて自覚した。2 分以上続き冷汗も出
circ,circ_ch03_q150,109E-67,298,869,34%,Y,連問 2/358 歳の男性。前胸部圧迫感を主訴に来院した。現病歴：午前11 時ころ、庭仕事中に頸部に放散する前胸部圧迫感を初めて自覚した。2 分以上続き冷汗も出
circ,circ_ch03_q151,109E-68,307,879,34%,Y,連問 3/358 歳の男性。前胸部圧迫感を主訴に来院した。現病歴：午前11 時ころ、庭仕事中に頸部に放散する前胸部圧迫感を初めて自覚した。2 分以上続き冷汗も出
circ,circ_ch03_q162,115C-72,304,720,42%,Y,連問 1/380 歳の男性。胸痛のため救急車で搬入された。現病歴：昨日午後7 時ころ夕食中に急に胸部絞扼感を感じた。胸痛は約30 分持続したが自然に軽快し、その
circ,circ_ch03_q163,115C-73,339,775,43%,Y,連問 2/380 歳の男性。胸痛のため救急車で搬入された。現病歴：昨日午後7 時ころ夕食中に急に胸部絞扼感を感じた。胸痛は約30 分持続したが自然に軽快し、その
circ,circ_ch03_q164,115C-74,64,774,8%,Y,（連問[115C-74]）AMI+IABP後、血行動態安定・IABP抜去後。心臓リハビリテーションの説明で誤っているのはどれか。
circ,circ_ch03_q169,113C-60,308,614,50%,Y,連問 1/352 歳の男性。歩行時の胸痛を主訴に来院した。現病歴：1 週間前から階段を昇ったときに前胸部痛を感じていた。前胸部痛は下顎にも放散し、安静にすると1
circ,circ_ch03_q170,113C-61,318,634,50%,Y,連問 2/352 歳の男性。歩行時の胸痛を主訴に来院した。現病歴：1 週間前から階段を昇ったときに前胸部痛を感じていた。前胸部痛は下顎にも放散し、安静にすると1
circ,circ_ch03_q171,113C-62,333,647,51%,Y,連問 3/352 歳の男性。歩行時の胸痛を主訴に来院した。現病歴：1 週間前から階段を昇ったときに前胸部痛を感じていた。前胸部痛は下顎にも放散し、安静にすると1
circ,circ_ch03_q174,113F-71,304,828,36%,Y,連問 1/380 歳の女性。食欲不振を主訴に来院した。現病歴：昨日の朝から気分が優れず、冷汗と息苦しさが出現し、食欲も低下した。昨晩も熟睡できなかった。今朝も同
circ,circ_ch03_q175,113F-72,323,844,38%,Y,連問 2/380 歳の女性。食欲不振を主訴に来院した。現病歴：昨日の朝から気分が優れず、冷汗と息苦しさが出現し、食欲も低下した。昨晩も熟睡できなかった。今朝も同
circ,circ_ch03_q176,113F-73,345,1035,33%,Y,連問 3/380 歳の女性。食欲不振を主訴に来院した。現病歴：昨日の朝から気分が優れず、冷汗と息苦しさが出現し、食欲も低下した。昨晩も熟睡できなかった。今朝も同
circ,circ_ch03_q179,112B-45,347,716,48%,Y,連問 2/2次の文を読み、178 と179 の問いに答えよ。74 歳の女性。持続する前胸部痛のため来院した。現病歴：本日午前7時45分、朝食の準備中に突然、咽頭
circ,circ_ch03_q181,112E-50,319,694,45%,Y,連問 1/2次の文を読み、181 と182 の問いに答えよ。56 歳の男性。胸痛のため救急車で搬入された。現病歴：起床時に胸痛を自覚した。10 分経過しても胸痛
circ,circ_ch03_q182,112E-51,348,716,48%,Y,連問 2/2次の文を読み、181 と182 の問いに答えよ。56 歳の男性。胸痛のため救急車で搬入された。現病歴：起床時に胸痛を自覚した。10 分経過しても胸痛
circ,circ_ch03_q183,112F-78,383,641,59%,Y,連問 1/359 歳の男性。激しい前胸部痛と息苦しさのために救急車で搬入された。現病歴：3 日前から5 分程度のジョギングで前胸部の絞扼感と息苦しさとを自覚して
circ,circ_ch03_q184,112F-79,330,579,56%,Y,連問 2/359 歳の男性。激しい前胸部痛と息苦しさのために救急車で搬入された。現病歴：3 日前から5 分程度のジョギングで前胸部の絞扼感と息苦しさとを自覚して
circ,circ_ch03_q185,112F-80,347,601,57%,Y,連問 3/359 歳の男性。激しい前胸部痛と息苦しさのために救急車で搬入された。現病歴：3 日前から5 分程度のジョギングで前胸部の絞扼感と息苦しさとを自覚して
circ,circ_ch03_q186,111E-63,310,718,43%,Y,連問 1/346 歳の男性。心窩部から左前胸部にかけての痛みを主訴に来院した。現病歴：本日、午前9 時、職場の会議中に心窩部から左前胸部にかけての締め付けられる
circ,circ_ch03_q187,111E-64,333,713,46%,Y,連問 2/346 歳の男性。心窩部から左前胸部にかけての痛みを主訴に来院した。現病歴：本日、午前9 時、職場の会議中に心窩部から左前胸部にかけての締め付けられる
circ,circ_ch03_q188,111E-65,338,737,45%,Y,連問 3/346 歳の男性。心窩部から左前胸部にかけての痛みを主訴に来院した。現病歴：本日、午前9 時、職場の会議中に心窩部から左前胸部にかけての締め付けられる
circ,circ_ch04_q230,119C-59,321,555,57%,Y,連問 1/383 歳の男性。意識消失を主訴に救急車で搬入された。現病歴：15 年前から高血圧症で治療中。約5 年前から家族に難聴を指摘されている。3 か月前から
circ,circ_ch04_q231,119C-60,313,537,58%,Y,連問 2/383 歳の男性。意識消失を主訴に救急車で搬入された。現病歴：15 年前から高血圧症で治療中。約5 年前から家族に難聴を指摘されている。3 か月前から
circ,circ_ch04_q232,119C-61,102,667,15%,Y,（連問）患者が再び意識消失（数秒後回復）。意識消失時：心拍数14/分・不整・血圧90/56mmHg。心電図モニター波形（完全房室ブロック様）。家族聴取で5回以上
circ,circ_ch04_q260,116E-46,60,130,46%,,（連問）心房細動患者。抗凝固薬の服薬アドヒアランスが不良。患者の発言からアドヒアランス低下の理由として適切なのはどれか。
circ,circ_ch04_q267,114E-43,315,616,51%,Y,連問 1/2次の文を読み、267 と268 の問いに答えよ。49 歳の男性。動悸と息苦しさを主訴に来院した。現病歴：今朝、朝食時に強い動悸を自覚し、息苦しさを伴
circ,circ_ch04_q268,114E-44,318,619,51%,Y,連問 2/2次の文を読み、267 と268 の問いに答えよ。49 歳の男性。動悸と息苦しさを主訴に来院した。現病歴：今朝、朝食時に強い動悸を自覚し、息苦しさを伴
circ,circ_ch04_q275,111G-63,312,784,39%,Y,連問 1/384 歳の女性。失神と眼前暗黒感とを主訴に来院した。現病歴：1 週間前から時々気が遠くなるようなふらつきを自覚していたが、本日、朝食前に突然眼前暗黒
circ,circ_ch04_q276,111G-64,340,783,43%,Y,連問 2/384 歳の女性。失神と眼前暗黒感とを主訴に来院した。現病歴：1 週間前から時々気が遠くなるようなふらつきを自覚していたが、本日、朝食前に突然眼前暗黒
circ,circ_ch04_q277,111G-65,333,805,41%,Y,連問 3/384 歳の女性。失神と眼前暗黒感とを主訴に来院した。現病歴：1 週間前から時々気が遠くなるようなふらつきを自覚していたが、本日、朝食前に突然眼前暗黒
circ,circ_ch04_q291,107E-58,240,710,33%,Y,連問 1/379 歳の男性。ふらつきを主訴に来院した。現病歴：3 年前に妻を亡くし、1 人暮らし。隣県に住む娘が時々様子を見に来ており、数か月前から物忘れが目立
circ,circ_ch04_q292,107E-59,277,728,38%,Y,連問 2/379 歳の男性。ふらつきを主訴に来院した。現病歴：3 年前に妻を亡くし、1 人暮らし。隣県に住む娘が時々様子を見に来ており、数か月前から物忘れが目立
circ,circ_ch04_q293,107E-60,283,740,38%,Y,連問 3/379 歳の男性。ふらつきを主訴に来院した。現病歴：3 年前に妻を亡くし、1 人暮らし。隣県に住む娘が時々様子を見に来ており、数か月前から物忘れが目立
circ,circ_ch05_q326,116B-44,305,473,64%,Y,連問 1/2次の文を読み、326 と327 の問いに答えよ。78 歳の女性。息切れを主訴に来院した。現病歴：65 歳で事務職を退職するまで毎年、健康診断を受けて
circ,circ_ch05_q327,116B-45,329,485,67%,Y,連問 2/2次の文を読み、326 と327 の問いに答えよ。78 歳の女性。息切れを主訴に来院した。現病歴：65 歳で事務職を退職するまで毎年、健康診断を受けて
circ,circ_ch05_q329,114B-42,324,950,34%,Y,連問 2/2次の文を読み、328 と329 の問いに答えよ。80 歳の女性。失神のため救急車で搬入された。現病歴：1 か月前から咳が出現し、5m 歩行しても息切
circ,circ_ch05_q331,113B-49,64,361,17%,Y,現症（胸骨右縁第2肋間最強の収縮期雑音、血圧128/88mmHg）で図の①〜⑤の経路のうち正しいのはどれか。（AS心エコー所見）
circ,circ_ch05_q338,109G-64,313,939,33%,Y,連問 1/386 歳の女性。発熱と呼吸困難とを主訴に来院した。現病歴：ADL は自立していたが半年前から時々食事中にむせることがあった。2 日前から咳や痰を伴う
circ,circ_ch05_q339,109G-65,305,931,32%,Y,連問 2/386 歳の女性。発熱と呼吸困難とを主訴に来院した。現病歴：ADL は自立していたが半年前から時々食事中にむせることがあった。2 日前から咳や痰を伴う
circ,circ_ch05_q340,109G-66,340,1037,32%,Y,連問 3/386 歳の女性。発熱と呼吸困難とを主訴に来院した。現病歴：ADL は自立していたが半年前から時々食事中にむせることがあった。2 日前から咳や痰を伴う
circ,circ_ch05_q361,103F-30,316,484,65%,Y,連問 1/2次の文を読み、361 と362 の問いに答えよ。29 歳の男性。動悸と労作時呼吸困難とを主訴に来院した。現病歴：学生のころから心雑音を指摘されていた
circ,circ_ch05_q362,103F-31,308,471,65%,Y,連問 2/2次の文を読み、361 と362 の問いに答えよ。29 歳の男性。動悸と労作時呼吸困難とを主訴に来院した。現病歴：学生のころから心雑音を指摘されていた
circ,circ_ch06_q413,109B-53,298,951,31%,Y,連問 1/381 歳の男性。発熱を主訴に来院した。現病歴：5 日前から37℃台の発熱が出現し、3 日前から腰痛が出現した。腰痛は鈍痛で、運動時と安静時ともに自覚
circ,circ_ch06_q414,109B-54,326,994,32%,Y,連問 2/381 歳の男性。発熱を主訴に来院した。現病歴：5 日前から37℃台の発熱が出現し、3 日前から腰痛が出現した。腰痛は鈍痛で、運動時と安静時ともに自覚
circ,circ_ch06_q415,109B-55,321,958,33%,Y,連問 3/381 歳の男性。発熱を主訴に来院した。現病歴：5 日前から37℃台の発熱が出現し、3 日前から腰痛が出現した。腰痛は鈍痛で、運動時と安静時ともに自覚
circ,circ_ch06_q420,108H-37,300,453,66%,Y,連問 1/2次の文を読み、420 と421 の問いに答えよ。69 歳の女性。発熱を主訴に来院した。現病歴：2 週前から38℃台の発熱が出現し、非ステロイド性抗炎
circ,circ_ch06_q421,108H-38,321,465,69%,Y,連問 2/2次の文を読み、420 と421 の問いに答えよ。69 歳の女性。発熱を主訴に来院した。現病歴：2 週前から38℃台の発熱が出現し、非ステロイド性抗炎
circ,circ_ch06_q427,105C-30,304,772,39%,Y,連問 1/2次の文を読み、427 と428 の問いに答えよ。95 歳の男性。呼吸困難のため搬入された。現病歴：咳嗽が続くため2 か月前に自宅近くの診療所を受診し
circ,circ_ch06_q428,105C-31,339,772,43%,Y,連問 2/2次の文を読み、427 と428 の問いに答えよ。95 歳の男性。呼吸困難のため搬入された。現病歴：咳嗽が続くため2 か月前に自宅近くの診療所を受診し
circ,circ_ch08_q491,110F-28,309,530,58%,Y,連問 1/2次の文を読み、491 と492 の問いに答えよ。72 歳の男性。突然の背部痛と冷汗とを主訴に来院した。現病歴：本日午後2 時、庭仕事中に突然の背部痛
circ,circ_ch08_q492,110F-29,324,532,60%,Y,連問 2/2次の文を読み、491 と492 の問いに答えよ。72 歳の男性。突然の背部痛と冷汗とを主訴に来院した。現病歴：本日午後2 時、庭仕事中に突然の背部痛
circ,circ_ch08_q502,105H-35,289,456,63%,Y,連問 1/2次の文を読み、502 と503 の問いに答えよ。27 歳の男性。突然の胸背部痛のため搬入された。現病歴：車の運転中、激烈な胸痛を突然自覚し、その後、
circ,circ_ch08_q503,105H-36,293,441,66%,Y,連問 2/2次の文を読み、502 と503 の問いに答えよ。27 歳の男性。突然の胸背部痛のため搬入された。現病歴：車の運転中、激烈な胸痛を突然自覚し、その後、
circ,circ_ch09_q525,113E-46,354,542,65%,Y,連問 1/2次の文を読み、525 と526 の問いに答えよ。72 歳の男性。左下肢痛を主訴に来院した。現病歴：2 年前から500m 程度歩行すると両側下腿に疼痛
circ,circ_ch09_q526,113E-47,325,606,53%,Y,連問 2/2次の文を読み、525 と526 の問いに答えよ。72 歳の男性。左下肢痛を主訴に来院した。現病歴：2 年前から500m 程度歩行すると両側下腿に疼痛
circ,circ_ch09_q535,111F-28,281,1018,27%,Y,連問 1/2次の文を読み、535 と536 の問いに答えよ。62 歳の男性。右下肢の痛みを主訴に来院した。現病歴：半年前から散歩の際に右下肢の疲れやすさを自覚し
circ,circ_ch09_q536,111F-29,275,1016,27%,Y,連問 2/2次の文を読み、535 と536 の問いに答えよ。62 歳の男性。右下肢の痛みを主訴に来院した。現病歴：半年前から散歩の際に右下肢の疲れやすさを自覚し
circ,circ_ch10_q566,107G-60,319,563,56%,Y,連問 1/382 歳の男性。意識消失のため搬入された。現病歴：本日、ビールを飲みながら夕食をとった後、入浴のため食卓から立ち上がり歩き始めたところ、突然意識を消
circ,circ_ch10_q567,107G-61,334,552,60%,Y,連問 2/382 歳の男性。意識消失のため搬入された。現病歴：本日、ビールを飲みながら夕食をとった後、入浴のため食卓から立ち上がり歩き始めたところ、突然意識を消
circ,circ_ch10_q568,107G-62,347,586,59%,Y,連問 3/382 歳の男性。意識消失のため搬入された。現病歴：本日、ビールを飲みながら夕食をとった後、入浴のため食卓から立ち上がり歩き始めたところ、突然意識を消
dige,dige_ch01_q3,120E-50,378,543,69%,Y,連問 2/2次の文を読み、2 と3 の問いに答えよ。75 歳の女性。血便を主訴に来院した。現病歴：3 日前から急に左下腹部痛が出現し、排便時に鮮紅色の血液が混じ
dige,dige_ch01_q23,118C-63,387,893,43%,Y,連問 1/355 歳の男性。便秘を主訴に来院した。現病歴：3 か月前に会社内で配置転換があり勤務中にトイレに行きにくくなった。元々、便秘がちであり便が硬くなった
dige,dige_ch01_q24,118C-64,55,853,6%,Y,連問（便潜血陽性患者）。下部消化管内視鏡検査を行うこととした。この患者への検査当日の前処置で適切なのはどれか。
dige,dige_ch01_q25,118C-65,38,841,4%,Y,連問（S状結腸内視鏡像A〜Dを示す）。この患者に行われた内視鏡治療はどれか。
dige,dige_ch01_q27,116C-72,320,910,35%,Y,連問 1/387 歳の女性。両側下腿浮腫を主訴に夫と息子夫婦とともに来院した。現病歴：約半年前から両側下腿浮腫が出現し、自宅近くの医療機関で少量の利尿薬を処方さ
dige,dige_ch01_q28,116C-73,360,939,38%,Y,連問 2/387 歳の女性。両側下腿浮腫を主訴に夫と息子夫婦とともに来院した。現病歴：約半年前から両側下腿浮腫が出現し、自宅近くの医療機関で少量の利尿薬を処方さ
dige,dige_ch01_q29,116C-74,349,1004,34%,Y,連問 3/387 歳の女性。両側下腿浮腫を主訴に夫と息子夫婦とともに来院した。現病歴：約半年前から両側下腿浮腫が出現し、自宅近くの医療機関で少量の利尿薬を処方さ
dige,dige_ch01_q30,116F-71,317,896,35%,Y,連問 1/365 歳の女性。便潜血陽性を指摘され来院した。現病歴：職場の健康診断で便潜血陽性を指摘され精査目的で受診した。便通異常の自覚はない。既往歴：55 歳
dige,dige_ch01_q31,116F-72,348,904,38%,Y,連問 2/365 歳の女性。便潜血陽性を指摘され来院した。現病歴：職場の健康診断で便潜血陽性を指摘され精査目的で受診した。便通異常の自覚はない。既往歴：55 歳
dige,dige_ch01_q32,116F-73,352,945,37%,Y,連問 3/365 歳の女性。便潜血陽性を指摘され来院した。現病歴：職場の健康診断で便潜血陽性を指摘され精査目的で受診した。便通異常の自覚はない。既往歴：55 歳
dige,dige_ch02_q59,116F-68,317,843,37%,Y,連問 1/350 歳の女性。発熱を主訴に来院した。現病歴：3 か月前に大腸癌と診断され、左鎖骨下静脈に中心静脈ポートを造設し外来で抗癌化学療法を行っていた。3 
dige,dige_ch02_q60,116F-69,358,894,40%,Y,連問 2/350 歳の女性。発熱を主訴に来院した。現病歴：3 か月前に大腸癌と診断され、左鎖骨下静脈に中心静脈ポートを造設し外来で抗癌化学療法を行っていた。3 
dige,dige_ch02_q61,116F-70,353,851,41%,Y,連問 3/350 歳の女性。発熱を主訴に来院した。現病歴：3 か月前に大腸癌と診断され、左鎖骨下静脈に中心静脈ポートを造設し外来で抗癌化学療法を行っていた。3 
dige,dige_ch02_q64,112C-57,314,857,36%,Y,連問 1/363 歳の女性。結腸癌のため開腹手術が予定されている。現病歴：2 か月前に受けた健診で貧血と便潜血反応陽性とを指摘された。2 週間前の下部消化管内視
dige,dige_ch02_q65,112C-58,332,866,38%,Y,連問 2/363 歳の女性。結腸癌のため開腹手術が予定されている。現病歴：2 か月前に受けた健診で貧血と便潜血反応陽性とを指摘された。2 週間前の下部消化管内視
dige,dige_ch02_q66,112C-59,346,1107,31%,Y,連問 3/363 歳の女性。結腸癌のため開腹手術が予定されている。現病歴：2 か月前に受けた健診で貧血と便潜血反応陽性とを指摘された。2 週間前の下部消化管内視
dige,dige_ch02_q74,116B-40,109,721,15%,Y,血液透析を開始するため右内頸静脈から透析用カテーテルを留置することとなった。超音波ガイド下にカテーテルを挿入中、患者の体動がみられ、胸が苦しいとの訴えがあった。
dige,dige_ch02_q75,116B-41,343,642,53%,Y,連問 2/2次の文を読み、74 と75 の問いに答えよ。76 歳の男性。食欲低下と全身倦怠感を主訴に来院した。現病歴：58 歳時に高血圧症と診断され、内服加療を
dige,dige_ch02_q77,115C-60,295,1031,28%,Y,連問 1/365 歳の男性。食道癌手術後に入院中である。現病歴：食道癌のため、10 日前に胸腔鏡補助下胸部食道全摘術を施行した。術後経口摂取が困難と予想されたた
dige,dige_ch02_q78,115C-61,326,1029,31%,Y,連問 2/365 歳の男性。食道癌手術後に入院中である。現病歴：食道癌のため、10 日前に胸腔鏡補助下胸部食道全摘術を施行した。術後経口摂取が困難と予想されたた
dige,dige_ch02_q79,115C-62,337,1106,30%,Y,連問 3/365 歳の男性。食道癌手術後に入院中である。現病歴：食道癌のため、10 日前に胸腔鏡補助下胸部食道全摘術を施行した。術後経口摂取が困難と予想されたた
dige,dige_ch02_q84,112E-48,357,884,40%,Y,連問 1/2次の文を読み、84 と85 の問いに答えよ。74 歳の男性。全身倦怠感と食欲低下の精査で指摘された胃癌の手術のため入院した。現病歴：2 か月前から全
dige,dige_ch02_q85,112E-49,350,890,39%,Y,連問 2/2次の文を読み、84 と85 の問いに答えよ。74 歳の男性。全身倦怠感と食欲低下の精査で指摘された胃癌の手術のため入院した。現病歴：2 か月前から全
dige,dige_ch03_q95,119B-45,313,591,52%,Y,連問 1/2次の文を読み、95 と 96 の問いに答えよ。70 歳の女性。心窩部痛を主訴に来院した。現病歴：1 週間前から空腹時に軽度の心窩部痛を自覚していたが
dige,dige_ch03_q96,119B-46,343,600,57%,Y,連問 2/2次の文を読み、95 と 96 の問いに答えよ。70 歳の女性。心窩部痛を主訴に来院した。現病歴：1 週間前から空腹時に軽度の心窩部痛を自覚していたが
dige,dige_ch03_q98,119F-63,306,688,44%,Y,連問 1/364 歳の女性。嘔吐を主訴に来院した。現病歴：今朝、悪心で目が覚め、黒色物を嘔吐したため、夫とともに受診した。既往歴：40 歳時に胆囊炎で手術。Pa
dige,dige_ch03_q99,119F-64,346,724,47%,Y,連問 2/364 歳の女性。嘔吐を主訴に来院した。現病歴：今朝、悪心で目が覚め、黒色物を嘔吐したため、夫とともに受診した。既往歴：40 歳時に胆囊炎で手術。Pa
dige,dige_ch03_q100,119F-65,365,745,48%,Y,連問 3/364 歳の女性。嘔吐を主訴に来院した。現病歴：今朝、悪心で目が覚め、黒色物を嘔吐したため、夫とともに受診した。既往歴：40 歳時に胆囊炎で手術。Pa
dige,dige_ch03_q116,114F-69,366,604,60%,Y,連問 1/376 歳の女性。胃癌の治療のため来院した。現病歴：健康診断の上部消化管内視鏡検査と生検で胃癌と診断されたため治療の目的で受診した。同健康診断で血中H
dige,dige_ch03_q117,114F-70,364,908,40%,Y,連問 2/376 歳の女性。胃癌の治療のため来院した。現病歴：健康診断の上部消化管内視鏡検査と生検で胃癌と診断されたため治療の目的で受診した。同健康診断で血中H
dige,dige_ch03_q118,114F-71,334,553,60%,Y,連問 3/376 歳の女性。胃癌の治療のため来院した。現病歴：健康診断の上部消化管内視鏡検査と生検で胃癌と診断されたため治療の目的で受診した。同健康診断で血中H
dige,dige_ch03_q120,113C-55,359,721,49%,Y,連問 2/382 歳の女性。転倒し救急車で搬入された。現病歴：廊下で倒れているところを家族が発見し、救急車を要請した。半年前から階段昇降時の息切れを自覚していた
dige,dige_ch03_q125,111B-60,205,796,25%,Y,連問 2/363 歳の男性。吐血のため救急車で搬入された。現病歴：2 年前から食後に心窩部痛を感じていたが、多忙であったために医療機関を受診していなかった。最近
dige,dige_ch03_q130,110H-33,301,815,36%,Y,連問 1/2次の文を読み、130 と131 の問いに答えよ。71 歳の男性。ふらつきを主訴に来院した。現病歴：1 週前から朝の目覚めが悪く、散歩中に気分が悪くて
dige,dige_ch03_q131,110H-34,311,808,38%,Y,連問 2/2次の文を読み、130 と131 の問いに答えよ。71 歳の男性。ふらつきを主訴に来院した。現病歴：1 週前から朝の目覚めが悪く、散歩中に気分が悪くて
dige,dige_ch03_q136,109F-26,308,509,60%,Y,連問 1/2次の文を読み、136 と137 の問いに答えよ。51 歳の男性。上腹部痛を主訴に来院した。現病歴：3 日前から上腹部の強い痛みと悪心とを自覚していた
dige,dige_ch03_q137,109F-27,341,787,43%,Y,連問 2/2次の文を読み、136 と137 の問いに答えよ。51 歳の男性。上腹部痛を主訴に来院した。現病歴：3 日前から上腹部の強い痛みと悪心とを自覚していた
dige,dige_ch03_q139,108G-67,279,579,48%,Y,連問 1/362 歳の男性。心窩部痛を主訴に来院した。現病歴：3 か月前から時々心窩部不快感を自覚するようになった。最近、会社の同僚が同じような症状で胃癌の診断
dige,dige_ch03_q140,108G-68,310,618,50%,Y,連問 2/362 歳の男性。心窩部痛を主訴に来院した。現病歴：3 か月前から時々心窩部不快感を自覚するようになった。最近、会社の同僚が同じような症状で胃癌の診断
dige,dige_ch03_q141,108G-69,302,581,51%,Y,連問 3/362 歳の男性。心窩部痛を主訴に来院した。現病歴：3 か月前から時々心窩部不快感を自覚するようになった。最近、会社の同僚が同じような症状で胃癌の診断
dige,dige_ch04_q202,104B-56,298,481,61%,Y,連問 1/376 歳の男性。発熱と呼吸困難とを主訴に来院した。現病歴：2 か月前から嚥下障害を自覚していたが放置していた。5 日前から水分摂取時にむせるようにな
dige,dige_ch04_q203,104B-57,311,478,65%,Y,連問 2/376 歳の男性。発熱と呼吸困難とを主訴に来院した。現病歴：2 か月前から嚥下障害を自覚していたが放置していた。5 日前から水分摂取時にむせるようにな
dige,dige_ch04_q204,104B-58,311,477,65%,Y,連問 3/376 歳の男性。発熱と呼吸困難とを主訴に来院した。現病歴：2 か月前から嚥下障害を自覚していたが放置していた。5 日前から水分摂取時にむせるようにな
dige,dige_ch04_q210,100D-49,302,465,64%,Y,連問 1/2次の文を読み、210 と211 の問いに答えよ。68 歳の男性。嚥下障害を主訴に来院した。現病歴  ： 1 か月前肉片がつかえ、そのときは水を飲んで
dige,dige_ch04_q211,100D-50,327,475,68%,Y,連問 2/2次の文を読み、210 と211 の問いに答えよ。68 歳の男性。嚥下障害を主訴に来院した。現病歴  ： 1 か月前肉片がつかえ、そのときは水を飲んで
dige,dige_ch05_q238,117E-41,329,877,37%,Y,連問 1/2次の文を読み、238 と239 の問いに答えよ。60 歳の男性。嘔吐を主訴に来院した。現病歴：1 年前に胃癌で胃全摘術を受け、その後外来で約8 か月
dige,dige_ch05_q239,117E-42,374,925,40%,Y,連問 2/2次の文を読み、238 と239 の問いに答えよ。60 歳の男性。嘔吐を主訴に来院した。現病歴：1 年前に胃癌で胃全摘術を受け、その後外来で約8 か月
dige,dige_ch05_q246,110G-60,305,862,35%,Y,連問 1/378 歳の男性。胃病変の精査と治療とを希望して来院した。現病歴：2 年前から心窩部痛を自覚していた。自宅近くの診療所で上部消化管造影検査を受け、異常
dige,dige_ch05_q247,110G-61,324,866,37%,Y,連問 2/378 歳の男性。胃病変の精査と治療とを希望して来院した。現病歴：2 年前から心窩部痛を自覚していた。自宅近くの診療所で上部消化管造影検査を受け、異常
dige,dige_ch05_q248,110G-62,317,862,36%,Y,連問 3/378 歳の男性。胃病変の精査と治療とを希望して来院した。現病歴：2 年前から心窩部痛を自覚していた。自宅近くの診療所で上部消化管造影検査を受け、異常
dige,dige_ch05_q251,109G-67,12,595,2%,Y,考えられる診断はどれか。
dige,dige_ch05_q252,109G-68,56,628,8%,Y,連問（胃底腺ポリープ）。生検組織のH-E染色標本（C①〜⑤）を示す（画像問題）。この病変と考えられるのはどれか。
dige,dige_ch05_q253,109G-69,31,602,5%,Y,連問（胃底腺ポリープ）。胃病変への対応として適切なのはどれか。
dige,dige_ch06_q276,119E-45,65,784,8%,Y,検査結果を説明後に、患者から「幼い子供がいるので、うつる病気かどうか心配です」と発言があった。この発言に対する適切な問診はどれか。
dige,dige_ch06_q277,119E-46,344,800,43%,Y,連問 2/2次の文を読み、276 と277 の問いに答えよ。32 歳の男性。腹痛を主訴に来院した。現病歴：本日起床時から腹痛が出現した。悪心を伴い朝食を食べられ
dige,dige_ch06_q295,115E-47,315,730,43%,Y,連問 1/2次の文を読み、295 と296 の問いに答えよ。75 歳の男性。発熱、腹痛および下痢のため救急車で搬入された。現病歴：10 日前から左下腿蜂窩織炎の
dige,dige_ch06_q296,115E-48,333,734,45%,Y,連問 2/2次の文を読み、295 と296 の問いに答えよ。75 歳の男性。発熱、腹痛および下痢のため救急車で搬入された。現病歴：10 日前から左下腿蜂窩織炎の
dige,dige_ch06_q303,111H-35,298,754,39%,Y,連問 1/2次の文を読み、303 と304 の問いに答えよ。81 歳の男性。前立腺炎で入院中に下痢を訴えている。現病歴：10 日前から、急性細菌性前立腺炎の診断
dige,dige_ch06_q304,111H-36,339,773,43%,Y,連問 2/2次の文を読み、303 と304 の問いに答えよ。81 歳の男性。前立腺炎で入院中に下痢を訴えている。現病歴：10 日前から、急性細菌性前立腺炎の診断
dige,dige_ch06_q306,110H-35,310,597,51%,Y,連問 1/2次の文を読み、306 と307 の問いに答えよ。70 歳の女性。発熱、咳嗽、喀痰および呼吸困難を主訴に来院した。現病歴：3 日前から咳嗽と喀痰とを自
dige,dige_ch06_q307,110H-36,61,756,8%,Y,画像あり。連問（肺炎で入院・セフェム系抗菌薬投与後に1日数回の水様性下痢が出現）。診断のために最初に行うべき検査はどれか。
dige,dige_ch06_q319,104C-28,304,648,46%,Y,連問 1/2次の文を読み、319 と320 の問いに答えよ。55 歳の女性。右下腹部痛を主訴に来院した。現病歴  ： 5日前から毎日就寝前に右下腹部痛が出現した
dige,dige_ch06_q320,104C-29,324,644,50%,Y,連問 2/2次の文を読み、319 と320 の問いに答えよ。55 歳の女性。右下腹部痛を主訴に来院した。現病歴  ： 5日前から毎日就寝前に右下腹部痛が出現した
dige,dige_ch09_q415,120F-64,314,670,46%,Y,連問 1/370 歳の男性。血便を主訴に来院した。現病歴：6 か月前から便秘が数日間続いたあとに下痢をするという便通異常を繰り返していた。3 日前から便秘があり
dige,dige_ch09_q416,120F-65,348,729,47%,Y,連問 2/370 歳の男性。血便を主訴に来院した。現病歴：6 か月前から便秘が数日間続いたあとに下痢をするという便通異常を繰り返していた。3 日前から便秘があり
dige,dige_ch09_q417,120F-66,65,854,7%,Y,画像あり。連問（大腸癌術後4年・遠隔転移再発・倦怠感・経口摂取不良・1か月で3kg体重減少）。がん悪液質と診断。正しいのはどれか。
dige,dige_ch09_q434,108F-30,320,759,42%,Y,連問 1/2次の文を読み、434 と435 の問いに答えよ。50 歳の男性。便秘と下痢とを繰り返すことを主訴に来院した。現病歴：3 週前に下痢を自覚し、その後腹
